当尼采哭泣,"
        
  
  （美）欧文 D.亚隆（Irvin D.Yalom） / 侯维之 / 机械工业出版社 / 2011-1-1 / 36.00元

      ",8.8
咖啡未冷前,"
        
  
  [日] 川口俊和 / 弭铁娟 / 中信出版集团股份有限公司 / 2017-6 / 36.00

      ",6.8
都柏林人,"
        
  
  [爱尔兰] 詹姆斯·乔伊斯 / 王逢振 / 上海译文出版社 / 2010-9 / 26.00元

      ",8.6
刺猬的优雅,"
        
  
  [法] 妙莉叶·芭贝里 / 史妍、刘阳 / 南京大学出版社 / 2010-02 / 25.00元

      ",8.1
时间的针脚,"
        
  
  [西] 玛丽亚·杜埃尼亚斯 / 罗秀 / 南海出版公司 / 2012-3 / 39.50元

      ",8.4
万火归一,"
        
  
  [阿根廷] 胡里奥·科塔萨尔 / 范晔 / 人民文学出版社 / 2009-6 / 22.00

      ",8.7
大江东去（共三部）,"
        
  
  阿耐 / 长江文艺出版社 / 2009-1 / 118.00元

      ",9.0
人民的名义,"
        
  
  周梅森 / 北京十月文艺出版社 / 2017-1-1 / CNY 46.90

      ",7.2
不朽,"
        
  
  米兰·昆德拉 / 王振孙、郑克鲁 / 上海译文出版社 / 2003-06 / 24.00

      ",8.6
欢愉,"
        
  
  [美] 莉莉·金 / 马韧 / 博集天卷/湖南文艺出版社 / 2017-2-1 / 38.00元

      ",7.8
地球上最后的夜晚,"
        
  
  [智利] 罗贝托·波拉尼奥 / 赵德明 / 上海人民出版社 / 2013-4-1 / 45.00元

      ",8.3
